base,author,ticker,expiry,strike,right,opened_at,bto_price,vwap_exit_price,total_sold_frac,remaining_frac,stc_count,closed,author_pnl_per_contract
tradingthetrend|AMZN|2026-02-02|245|CALL,TradingTheTrend,AMZN,2026-02-02,245,CALL,2026-01-27T15:20:43Z,2.1800,2.4969,1.0000,0.0000,3,true,31.69
beendoubleyou|TSLA|2026-02-04|445|CALL,beendoubleyou,TSLA,2026-02-04,445,CALL,2026-01-30T15:38:54Z,4.4500,4.5435,0.6992,0.3008,3,false,6.54
tradingthetrend|INTC|2026-03-20|55|CALL,TradingTheTrend,INTC,2026-03-20,55,CALL,2026-01-30T15:47:10Z,2.2500,2.5000,0.3300,0.6700,1,false,8.25
tradingthetrend|SLV|2026-02-09|79|CALL,TradingTheTrend,SLV,2026-02-09,79,CALL,2026-02-02T20:41:38Z,2.1000,4.6044,0.7756,0.2244,3,false,194.23
edtrader|ENPH|2026-03-20|40|CALL,Edtrader,ENPH,2026-03-20,40,CALL,2026-02-04T14:31:45Z,3.4500,5.4000,0.2500,0.7500,1,false,48.75
tradingthetrend|TSLA|2026-02-06|400|PUT,TradingTheTrend,TSLA,2026-02-06,400,PUT,2026-02-04T15:36:05Z,2.5700,4.2734,0.9095,0.0905,6,false,154.93
tradingthetrend|IWM|2026-02-10|255|PUT,TradingTheTrend,IWM,2026-02-10,255,PUT,2026-02-04T17:35:08Z,1.9500,2.3800,0.5511,0.4489,2,false,23.70
beendoubleyou|TSLA|2026-02-13|430|CALL,beendoubleyou,TSLA,2026-02-13,430,CALL,2026-02-09T16:03:16Z,3.6800,3.7500,0.3300,0.6700,1,false,2.31
tradingthetrend|GOOGL|2026-02-23|335|CALL,TradingTheTrend,GOOGL,2026-02-23,335,CALL,2026-02-09T16:11:58Z,3.5000,4.2140,0.6992,0.3008,3,false,49.93
edtrader|KWEB|2026-08-21|40|CALL,Edtrader,KWEB,2026-08-21,40,CALL,2026-02-10T17:58:05Z,1.6000,0.0000,0.0000,1.0000,0,false,-0.00
tb22|AAPL|2026-03-26|280|CALL,TB22,AAPL,2026-03-26,280,CALL,2026-02-12T14:49:48Z,5.1000,0.0000,0.0000,1.0000,0,false,-0.00
edtrader|INTC|2026-03-20|43|CALL,Edtrader,INTC,2026-03-20,43,CALL,2026-02-12T16:06:06Z,3.4500,0.0000,0.0000,1.0000,0,false,-0.00
tradingthetrend|TSLA|2026-02-18|410|PUT,TradingTheTrend,TSLA,2026-02-18,410,PUT,2026-02-12T16:18:11Z,3.5000,4.8949,0.8650,0.1350,5,false,120.66
tradingthetrend|NVDA|2026-02-13|185|PUT,TradingTheTrend,NVDA,2026-02-13,185,PUT,2026-02-12T16:21:31Z,0.9000,0.9984,1.0000,0.0000,5,true,9.84
tradingthetrend|TSLA|2026-02-13|405|PUT,TradingTheTrend,TSLA,2026-02-13,405,PUT,2026-02-13T14:42:33Z,1.7000,0.0000,0.0000,1.0000,0,false,-0.00
edtrader|MARA|2026-06-18|13|CALL,Edtrader,MARA,2026-06-18,13,CALL,2026-02-13T19:38:31Z,1.7700,0.0000,0.0000,1.0000,0,false,-0.00
tradingthetrend|SLV|2026-03-02|68|PUT,TradingTheTrend,SLV,2026-03-02,68,PUT,2026-02-19T15:23:42Z,2.0400,1.2000,0.3300,0.6700,1,false,-27.72
tater tot done chased 🥜|SLV|2026-03-20|95|CALL,Tater Tot Done Chased 🥜,SLV,2026-03-20,95,CALL,2026-02-23T20:58:25Z,3.7000,0.0000,0.0000,1.0000,0,false,-0.00
beendoubleyou|TSLA|2026-02-27|415|CALL,beendoubleyou,TSLA,2026-02-27,415,CALL,2026-02-24T15:31:48Z,3.5300,2.4800,0.3300,0.6700,1,false,-34.65
tradingthetrend|AMZN|2026-03-04|215|CALL,TradingTheTrend,AMZN,2026-03-04,215,CALL,2026-02-25T15:00:39Z,1.9000,1.3795,1.0000,0.0000,2,true,-52.05
edtrader|NIO|2026-06-18|5.5|CALL,Edtrader,NIO,2026-06-18,5.5,CALL,2026-02-26T20:48:31Z,0.5700,1.6800,0.3300,0.6700,1,false,36.63
edtrader|NIO|2026-06-18|10|CALL,Edtrader,NIO,2026-06-18,10,CALL,2026-02-26T20:51:11Z,0.9600,0.0000,0.0000,1.0000,0,false,-0.00
tradingthetrend|TSM|2026-02-27|380|CALL,TradingTheTrend,TSM,2026-02-27,380,CALL,2026-02-26T20:57:15Z,1.5600,0.0000,0.0000,1.0000,0,false,-0.00
tradingthetrend|QQQ|2026-03-05|600|PUT,TradingTheTrend,QQQ,2026-03-05,600,PUT,2026-03-02T17:01:10Z,3.0000,3.0977,1.0000,0.0000,3,true,9.77
tradingthetrend|AMZN|2026-03-06|200|PUT,TradingTheTrend,AMZN,2026-03-06,200,PUT,2026-03-03T14:50:32Z,2.1800,2.5000,0.3300,0.6700,1,false,10.56
tradingthetrend|QQQ|2026-03-05|595|PUT,TradingTheTrend,QQQ,2026-03-05,595,PUT,2026-03-03T18:27:56Z,2.7400,2.4479,0.5511,0.4489,2,false,-16.10
tradingthetrend|GOOGL|2026-03-09|310|CALL,TradingTheTrend,GOOGL,2026-03-09,310,CALL,2026-03-04T15:27:55Z,2.1000,1.7200,0.3300,0.6700,1,false,-12.54
tradingthetrend|IWM|2026-03-10|264|CALL,TradingTheTrend,IWM,2026-03-10,264,CALL,2026-03-05T15:00:25Z,1.5500,0.0000,0.0000,1.0000,0,false,-0.00
tradingthetrend|QQQ|2026-03-12|598|PUT,TradingTheTrend,QQQ,2026-03-12,598,PUT,2026-03-12T17:26:33Z,0.5400,1.0087,0.5511,0.4489,2,false,25.83
tradingthetrend|AMZN|2026-03-20|200|PUT,TradingTheTrend,AMZN,2026-03-20,200,PUT,2026-03-13T15:46:07Z,1.8700,1.9574,0.5511,0.4489,2,false,4.82
tradingthetrend|RKLB|2026-04-10|60|PUT,TradingTheTrend,RKLB,2026-04-10,60,PUT,2026-03-13T19:10:36Z,2.9600,3.7847,0.9496,0.0504,5,false,78.32
edtrader|BABA|2026-07-17|165|CALL,Edtrader,BABA,2026-07-17,165,CALL,2026-03-16T14:23:33Z,5.6000,0.0000,0.0000,1.0000,0,false,-0.00
edtrader|BIDU|2026-04-17|130|CALL,Edtrader,BIDU,2026-04-17,130,CALL,2026-03-16T14:31:50Z,5.5000,0.0000,0.0000,1.0000,0,false,-0.00
tradingthetrend|NVDA|2026-03-27|175|PUT,TradingTheTrend,NVDA,2026-03-27,175,PUT,2026-03-16T18:31:49Z,2.2800,2.3955,0.5511,0.4489,2,false,6.37
tradingthetrend|GOOGL|2026-03-20|302.5|PUT,TradingTheTrend,GOOGL,2026-03-20,302.5,PUT,2026-03-18T19:49:35Z,1.1800,2.5340,0.7985,0.2015,4,false,108.12
tradingthetrend|SPY|2026-03-20|652|CALL,TradingTheTrend,SPY,2026-03-20,652,CALL,2026-03-20T18:18:56Z,0.5400,0.0000,0.0000,1.0000,0,false,-0.00
tradingthetrend|GLD|2026-03-27|390|PUT,TradingTheTrend,GLD,2026-03-27,390,PUT,2026-03-24T20:02:06Z,3.3000,0.5900,0.3300,0.6700,1,false,-89.43
tradingthetrend|NVDA|2026-04-02|165|PUT,TradingTheTrend,NVDA,2026-04-02,165,PUT,2026-03-27T13:34:56Z,2.0000,2.2157,0.5511,0.4489,2,false,11.89
tradingthetrend|GOOGL|2026-04-06|282.5|CALL,TradingTheTrend,GOOGL,2026-04-06,282.5,CALL,2026-03-31T13:58:30Z,2.8500,3.7606,0.6992,0.3008,3,false,63.67
tradingthetrend|SPY|2026-04-15|640|PUT,TradingTheTrend,SPY,2026-04-15,640,PUT,2026-04-06T19:06:31Z,3.4500,4.3287,0.7985,0.2015,4,false,70.17
tradingthetrend|TSLA|2026-05-22|400|CALL,TradingTheTrend,TSLA,2026-05-22,400,CALL,2026-04-07T19:56:32Z,6.0000,5.5200,0.3300,0.6700,1,false,-15.84
tradingthetrend|GOOGL|2026-04-15|325|CALL,TradingTheTrend,GOOGL,2026-04-15,325,CALL,2026-04-09T15:55:04Z,1.6500,2.1714,0.6992,0.3008,3,false,36.46
tradingthetrend|ORCL|2026-05-01|120|PUT,TradingTheTrend,ORCL,2026-05-01,120,PUT,2026-04-09T16:48:14Z,1.4200,1.8000,0.4975,0.5025,2,false,18.90
tb22|AAPL|2026-05-15|275|CALL,TB22,AAPL,2026-05-15,275,CALL,2026-04-09T19:04:30Z,3.3000,4.6002,0.9831,0.0169,8,false,127.83
tradingthetrend|NVDA|2026-04-22|205|CALL,TradingTheTrend,NVDA,2026-04-22,205,CALL,2026-04-14T19:58:16Z,0.9300,1.2892,0.6992,0.3008,3,false,25.11
tradingthetrend|AMZN|2026-04-15|250|CALL,TradingTheTrend,AMZN,2026-04-15,250,CALL,2026-04-15T14:32:16Z,0.2700,0.0000,0.0000,1.0000,0,false,-0.00
tradingthetrend|AAPL|2026-04-24|270|CALL,TradingTheTrend,AAPL,2026-04-24,270,CALL,2026-04-15T14:56:00Z,2.0200,2.7368,0.7985,0.2015,4,false,57.24
tradingthetrend|NVDA|2026-04-24|205|CALL,TradingTheTrend,NVDA,2026-04-24,205,CALL,2026-04-16T15:07:19Z,1.7800,1.7386,1.0000,0.0000,2,true,-4.14
edtrader|PDD|2026-05-01|110|CALL,Edtrader,PDD,2026-05-01,110,CALL,2026-04-16T16:32:27Z,1.6500,0.0000,0.0000,1.0000,0,false,-0.00
edtrader|KWEB|2026-06-18|32|CALL,Edtrader,KWEB,2026-06-18,32,CALL,2026-04-17T14:07:32Z,1.2000,0.0000,0.0000,1.0000,0,false,-0.00
tradingthetrend|MSFT|2026-04-24|430|CALL,TradingTheTrend,MSFT,2026-04-24,430,CALL,2026-04-20T14:38:10Z,2.1800,3.2080,1.0000,0.0000,5,true,102.80
tradingthetrend|GOOGL|2026-04-27|345|CALL,TradingTheTrend,GOOGL,2026-04-27,345,CALL,2026-04-22T19:54:14Z,2.1900,2.5200,0.3300,0.6700,1,false,10.89
tradingthetrend|SPY|2026-04-24|715|CALL,TradingTheTrend,SPY,2026-04-24,715,CALL,2026-04-22T19:57:06Z,1.2500,0.5500,1.0000,0.0000,1,true,-70.00
