entry_at,symbol,direction,pnl,hvn_dist_atr,hvn_density_above,hvn_density_below,poc_dist_bps,ema_value,ema_dist_bps,ema_dist_atr,ema_low_below_ema,ema_high_above_ema,bars_since_avwap_cross_session_open,bars_since_avwap_cross_pd_high,bars_since_avwap_cross_pd_low,avwap_cross_breach_max_atr_session_open,avwap_cross_breach_max_atr_pd_high,avwap_cross_breach_max_atr_pd_low,hvn_bucket,ema_bucket,time_split,symbol_split
2025-05-08T08:39:00-05:00,AMD,LONG,127.1753,10.964,0,3,-475.60,100.2899,350.63,7.962,0,1,2,2,2,1.107,9.823,8.273,far,outside,IS,IS
2025-05-08T09:09:00-05:00,HIMS,LONG,-213.0635,5.149,0,11,-782.89,52.4395,307.21,2.250,0,1,1,1,195,1.984,2.017,10.508,far,outside,IS,IS
2025-05-09T08:39:00-05:00,TSLA,LONG,205.8161,17.796,0,10,-788.43,291.6317,235.17,5.424,0,1,56,62,62,4.309,10.246,9.187,far,outside,IS,OOS
2025-05-09T08:44:00-05:00,HOOD,LONG,113.4963,4.518,0,13,-1464.46,54.9328,104.63,2.640,0,1,72,78,96,6.590,15.156,12.026,far,outside,IS,IS
2025-05-13T08:39:00-05:00,NVDA,LONG,155.9532,10.463,0,8,-643.48,123.7389,191.62,7.327,0,1,55,76,76,5.054,15.791,13.728,far,outside,IS,IS
2025-05-16T09:04:00-05:00,COIN,LONG,218.0164,0.117,4,0,23.08,254.1573,173.62,2.462,0,1,6,6,6,2.358,6.228,6.822,near,outside,IS,IS
2025-05-19T08:39:00-05:00,MRNA,LONG,-291.0479,8.130,0,4,-709.70,25.6164,486.25,5.343,0,1,68,76,76,6.159,11.701,10.992,far,outside,IS,IS
2025-05-20T08:39:00-05:00,RIVN,LONG,-235.3810,13.542,0,10,-618.46,16.3542,248.16,5.270,0,1,73,70,68,9.044,9.094,10.860,far,outside,IS,IS
2025-05-20T10:14:00-05:00,MRNA,LONG,394.0212,16.662,0,3,-1796.56,27.5628,398.09,3.568,1,1,18,156,156,4.363,11.701,10.992,far,outside,IS,IS
2025-05-21T09:04:00-05:00,GOOGL,LONG,126.0925,5.400,0,4,-186.73,166.9821,166.06,4.767,0,1,6,6,6,4.565,7.431,6.594,far,outside,IS,OOS
2025-05-22T08:49:00-05:00,GOOGL,LONG,143.5678,12.145,0,2,-455.73,171.3350,178.89,4.796,0,1,2,56,3,2.962,7.746,6.472,far,outside,IS,OOS
2025-05-27T08:54:00-05:00,HOOD,LONG,143.7365,2.875,0,5,-158.21,64.3562,197.93,3.789,0,1,1,4,4,2.970,5.746,5.637,far,outside,IS,IS
2025-05-27T08:59:00-05:00,RBLX,LONG,-68.6380,8.560,0,2,-332.39,83.9854,168.44,4.302,0,1,13,62,62,2.890,5.289,7.154,far,outside,IS,IS
2025-05-29T09:19:00-05:00,BA,LONG,108.8220,6.963,0,1,-329.98,204.6563,211.51,4.384,0,1,8,9,54,3.990,5.741,5.498,far,outside,IS,IS
2025-06-03T08:44:00-05:00,HIMS,LONG,-227.5411,9.749,0,11,-1691.37,60.9570,961.84,6.465,0,1,2,2,2,2.026,8.006,5.549,far,outside,IS,IS
2025-06-03T09:29:00-05:00,COIN,LONG,100.1405,9.256,0,7,-433.74,252.5990,166.11,3.853,0,1,10,11,11,4.952,8.759,7.722,far,outside,IS,IS
2025-06-05T09:19:00-05:00,SOFI,LONG,163.0878,4.332,0,3,-226.42,13.7028,173.14,3.393,0,1,3,9,10,3.785,7.163,7.300,far,outside,IS,IS
2025-06-06T08:39:00-05:00,HOOD,LONG,-188.6680,6.678,0,9,-417.28,73.4064,274.30,4.610,0,1,1,1,1,2.229,3.990,5.089,far,outside,IS,IS
2025-06-12T08:49:00-05:00,HIMS,LONG,152.3191,6.671,0,18,-477.64,57.8333,193.09,3.323,0,1,1,65,66,2.817,4.994,7.530,far,outside,IS,IS
2025-06-16T08:39:00-05:00,COIN,LONG,121.3197,6.417,0,1,-200.54,243.9411,204.10,6.483,0,1,14,9,12,3.580,4.359,11.026,far,outside,IS,IS
2025-06-16T08:39:00-05:00,AMD,LONG,117.2845,4.929,5,0,184.42,117.5015,253.75,7.126,0,1,1,1,1,2.045,8.349,7.912,far,outside,IS,IS
2025-06-16T09:04:00-05:00,MRVL,LONG,124.2962,2.271,0,5,-210.79,69.1227,168.88,4.223,0,1,6,6,6,4.383,8.004,7.948,far,outside,IS,IS
2025-06-16T09:19:00-05:00,RIVN,LONG,-201.0367,9.021,0,1,-430.51,13.7845,170.84,3.482,0,1,8,9,9,4.110,7.201,6.926,far,outside,IS,IS
2025-06-18T08:59:00-05:00,MRVL,LONG,92.2312,7.885,0,5,-781.46,74.4716,279.76,2.797,0,1,4,5,8,1.331,6.007,6.914,far,outside,IS,IS
2025-06-18T08:59:00-05:00,SOXL,LONG,92.5928,0.000,1,5,4.61,21.7352,117.23,1.910,0,1,2,1,5,1.588,1.279,2.732,near,outside,IS,IS
2025-06-18T10:34:00-05:00,COIN,LONG,15.2467,6.262,0,11,-909.74,260.7428,296.35,4.627,0,1,23,23,24,5.358,7.634,7.210,far,outside,IS,IS
2025-06-18T11:59:00-05:00,SMCI,LONG,95.3659,5.879,0,4,-297.53,44.4497,133.58,2.827,1,1,40,39,40,4.382,5.852,5.163,far,outside,IS,IS
2025-06-23T08:59:00-05:00,TSLA,LONG,343.7882,9.187,0,4,-572.32,333.9864,271.53,4.303,0,1,3,5,5,3.370,8.108,7.774,far,outside,IS,OOS
2025-06-24T08:49:00-05:00,HOOD,LONG,126.1278,4.504,0,8,-225.89,77.6284,212.01,4.412,0,1,2,3,3,3.051,6.478,6.857,far,outside,IS,IS
2025-06-25T08:39:00-05:00,SMCI,LONG,56.4893,9.627,0,3,-506.52,43.4688,389.05,7.285,0,1,63,60,63,4.222,8.326,10.728,far,outside,IS,IS
2025-06-26T08:44:00-05:00,PLTR,LONG,-191.5864,10.263,0,9,-407.94,144.6547,220.20,6.458,0,1,1,2,2,2.892,7.631,7.789,far,outside,IS,OOS
2025-06-27T08:59:00-05:00,HIMS,LONG,163.8561,15.134,0,2,-1419.07,48.4651,382.72,3.923,0,1,75,63,80,6.966,8.637,13.813,far,outside,IS,IS
2025-06-30T08:39:00-05:00,HOOD,LONG,-184.0643,7.864,0,9,-412.56,84.6576,318.04,5.966,0,1,6,6,2,1.530,8.299,6.461,far,outside,IS,IS
2025-06-30T08:49:00-05:00,SOFI,LONG,193.3469,20.497,0,4,-1180.81,17.6229,296.28,5.070,0,1,3,3,175,2.798,7.094,11.683,far,outside,IS,IS
2025-06-30T09:19:00-05:00,SMCI,LONG,-194.4798,4.651,0,10,-327.56,49.4192,176.17,2.800,0,1,9,9,9,3.125,5.529,6.130,far,outside,IS,IS
2025-06-30T10:39:00-05:00,HOOD,LONG,-187.0298,7.682,0,9,-827.85,88.6536,299.07,2.722,0,1,5,16,6,3.412,8.299,4.121,far,outside,IS,IS
2025-07-02T08:49:00-05:00,HOOD,LONG,246.4508,4.168,0,8,-336.75,93.7506,175.93,2.185,0,1,1,3,3,1.453,2.988,3.383,far,outside,IS,IS
2025-07-02T09:04:00-05:00,MRNA,LONG,-189.2119,13.674,0,3,-645.12,29.2098,126.72,2.677,0,1,80,60,63,5.841,7.344,6.508,far,outside,IS,IS
2025-07-08T08:54:00-05:00,OXY,LONG,129.4994,3.151,0,1,-77.56,43.6926,109.26,4.494,0,1,4,4,4,3.202,7.902,7.156,far,outside,IS,IS
2025-07-09T08:39:00-05:00,BA,LONG,105.4566,10.522,0,3,-435.90,221.1238,208.76,4.933,0,1,48,48,48,4.463,8.599,7.608,far,outside,IS,IS
2025-07-09T08:49:00-05:00,COIN,LONG,-203.1603,6.706,0,7,-222.33,357.0097,188.38,5.471,0,1,3,3,3,3.158,7.030,7.319,far,outside,IS,IS
2025-07-10T08:39:00-05:00,SOFI,LONG,273.8108,11.729,0,7,-414.39,20.3204,223.71,6.939,0,1,42,8,42,4.079,3.888,10.261,far,outside,IS,IS
2025-07-14T09:14:00-05:00,HIMS,LONG,131.8163,2.153,6,0,147.26,48.9050,152.33,2.321,0,1,8,2,8,3.237,2.330,3.579,far,outside,IS,IS
2025-07-15T08:39:00-05:00,SMCI,LONG,182.4637,6.968,0,10,-452.80,50.5647,333.29,6.316,0,1,0,1,1,0.000,5.641,7.759,far,outside,IS,IS
2025-07-17T09:14:00-05:00,COIN,LONG,-186.6947,9.768,0,6,-470.62,406.5441,199.14,4.259,0,1,40,4,6,5.122,5.720,7.417,far,outside,IS,IS
2025-07-18T08:39:00-05:00,HOOD,LONG,132.7599,19.861,0,1,-1015.54,108.0590,306.41,5.813,0,1,19,24,125,3.861,4.762,10.406,far,outside,IS,IS
2025-07-21T08:49:00-05:00,COIN,LONG,-186.6914,15.000,0,7,-783.30,422.8674,204.38,3.977,0,1,2,2,3,2.900,4.068,6.295,far,outside,IS,IS
2025-07-23T08:39:00-05:00,HIMS,LONG,212.8851,5.489,0,6,-322.50,50.5298,192.02,3.439,0,1,69,36,69,8.175,8.339,8.671,far,outside,IS,IS
2025-07-25T09:09:00-05:00,AMD,LONG,-190.5129,13.148,0,4,-526.83,164.6773,137.40,3.468,0,1,4,145,203,3.603,10.343,9.786,far,outside,IS,IS
2025-07-25T09:29:00-05:00,HOOD,LONG,124.5173,5.736,0,3,-250.10,103.5830,124.05,2.855,0,1,38,10,10,3.906,6.006,5.904,far,outside,IS,IS
2025-07-29T08:39:00-05:00,SMCI,LONG,167.2606,8.528,0,6,-1437.71,59.7835,109.57,2.957,1,1,74,141,142,5.861,5.978,10.980,far,outside,IS,IS
2025-07-30T08:44:00-05:00,HIMS,LONG,131.4484,13.112,0,13,-941.36,61.1873,403.13,5.679,0,1,1,39,50,3.835,7.080,9.712,far,outside,IS,IS
2025-07-30T08:49:00-05:00,SMCI,LONG,100.6143,8.592,0,4,-384.66,59.7256,178.22,4.110,0,1,3,3,3,2.678,4.305,6.792,far,outside,IS,IS
2025-07-31T08:39:00-05:00,HIMS,LONG,-31.1374,33.356,0,14,-1426.41,65.6857,248.04,5.868,0,1,0,89,100,0.000,7.080,9.712,far,outside,IS,IS
2025-08-04T08:49:00-05:00,AMD,LONG,-100.5767,3.163,5,0,132.60,173.9623,163.78,4.231,0,1,2,3,11,2.149,6.397,7.167,far,outside,IS,IS
2025-08-04T08:54:00-05:00,RBLX,LONG,134.2310,9.843,0,4,-490.60,128.0378,237.60,4.854,0,1,4,3,4,4.539,5.738,7.146,far,outside,IS,IS
2025-08-05T08:54:00-05:00,NET,LONG,-196.1541,4.516,0,3,-239.31,211.5743,143.25,2.740,0,1,57,3,79,3.116,4.006,9.353,far,outside,IS,OOS
2025-08-07T08:39:00-05:00,OXY,LONG,-180.2200,9.114,0,2,-472.91,43.2978,365.44,6.910,0,1,1,1,1,1.676,7.343,5.254,far,outside,IS,IS
2025-08-08T08:49:00-05:00,HOOD,LONG,102.3479,20.509,0,6,-813.66,111.5950,172.94,4.282,0,1,2,3,107,1.899,7.610,12.050,far,outside,IS,IS
